depth,seed,round,test_acc,test_f1,test_auc,cumulative_bytes,n_params
4,4,4,0.6936333173767353,0.5408895265423243,0.7857093302696792,49664,97
4,4,5,0.6677836285303973,0.5233516483516484,0.7838542100268071,62080,97
4,4,6,0.687888942077549,0.5342857142857143,0.7847033750145692,74496,97
4,4,7,0.6840593585447583,0.5305832147937412,0.7761825871226627,86912,97
4,4,8,0.6716132120631881,0.5222841225626741,0.7786745811063565,99328,97
4,4,9,0.6869315461943514,0.5328571428571428,0.7745009074410163,111744,97
4,4,10,0.6735280038295836,0.5230769230769231,0.7812595392308674,124160,97
4,4,11,0.6945907132599329,0.5390173410404624,0.7862490772962143,136576,97
4,4,12,0.672091910004787,0.5226480836236934,0.7863198410451946,148992,97
4,4,13,0.7022498803255146,0.5446559297218155,0.788971400345216,161408,97
